prov_code,prov_name,cant_code,cant_name,parr_code,parr_name,urbana
1.0,Azuay,101.0,Cuenca,10101.0,Bellavista,True
1.0,Azuay,101.0,Cuenca,10102.0,Cañaribamba,True
1.0,Azuay,101.0,Cuenca,10103.0,El Batán,True
1.0,Azuay,101.0,Cuenca,10104.0,El Sagrario,True
1.0,Azuay,101.0,Cuenca,10105.0,El Vecino,True
1.0,Azuay,101.0,Cuenca,10106.0,Gil Ramírez Dávalos,True
1.0,Azuay,101.0,Cuenca,10107.0,Huaynacápac,True
1.0,Azuay,101.0,Cuenca,10108.0,Machángara,True
1.0,Azuay,101.0,Cuenca,10109.0,Monay,True
1.0,Azuay,101.0,Cuenca,10110.0,San Blas,True
1.0,Azuay,101.0,Cuenca,10111.0,San Sebastián,True
1.0,Azuay,101.0,Cuenca,10112.0,Sucre,True
1.0,Azuay,101.0,Cuenca,10113.0,Totoracocha,True
1.0,Azuay,101.0,Cuenca,10114.0,Yanuncay,True
1.0,Azuay,101.0,Cuenca,10115.0,Hermano Miguel,True
1.0,Azuay,101.0,Cuenca,10150.0,"Cuenca, Cabecera Cantonal Y Capital Provincial.",True
1.0,Azuay,101.0,Cuenca,10151.0,Baños,False
1.0,Azuay,101.0,Cuenca,10152.0,Cumbe,False
1.0,Azuay,101.0,Cuenca,10153.0,Chaucha,False
1.0,Azuay,101.0,Cuenca,10154.0,Checa (Jidcay),False
1.0,Azuay,101.0,Cuenca,10155.0,Chiquintad,False
1.0,Azuay,101.0,Cuenca,10156.0,Llacao,False
1.0,Azuay,101.0,Cuenca,10157.0,Molleturo,False
1.0,Azuay,101.0,Cuenca,10158.0,Nulti,False
1.0,Azuay,101.0,Cuenca,10159.0,Octavio Cordero Palacios (Sta. Rosa),False
1.0,Azuay,101.0,Cuenca,10160.0,Paccha,False
1.0,Azuay,101.0,Cuenca,10161.0,Quingeo,False
1.0,Azuay,101.0,Cuenca,10162.0,Ricaurte,False
1.0,Azuay,101.0,Cuenca,10163.0,San Joaquin,False
1.0,Azuay,101.0,Cuenca,10164.0,Santa Ana,False
1.0,Azuay,101.0,Cuenca,10165.0,Sayausi,False
1.0,Azuay,101.0,Cuenca,10166.0,Sidcay,False
1.0,Azuay,101.0,Cuenca,10167.0,Sinincay,False
1.0,Azuay,101.0,Cuenca,10168.0,Tarqui,False
1.0,Azuay,101.0,Cuenca,10169.0,Turi,False
1.0,Azuay,101.0,Cuenca,10170.0,Valle,False
1.0,Azuay,101.0,Cuenca,10171.0,Victoria Del Portete (Irquis),False
1.0,Azuay,102.0,Giron,10250.0,Giron,True
1.0,Azuay,102.0,Giron,10251.0,Asuncion,False
1.0,Azuay,102.0,Giron,10252.0,San Gerardo,False
1.0,Azuay,103.0,Gualaceo,10350.0,Gualaceo,True
1.0,Azuay,103.0,Gualaceo,10352.0,Daniel Cordova Toral (El Oriente),False
1.0,Azuay,103.0,Gualaceo,10353.0,Jadan,False
1.0,Azuay,103.0,Gualaceo,10354.0,Mariano Moreno,False
1.0,Azuay,103.0,Gualaceo,10356.0,Remigio Crespo Toral (Gulag),False
1.0,Azuay,103.0,Gualaceo,10357.0,San Juan,False
1.0,Azuay,103.0,Gualaceo,10358.0,Zhidmad,False
1.0,Azuay,103.0,Gualaceo,10359.0,Luis Cordero Vega,False
1.0,Azuay,103.0,Gualaceo,10360.0,Simon Bolivar (Cab. En Gañanzol),False
1.0,Azuay,104.0,Nabon,10450.0,Nabon,True
1.0,Azuay,104.0,Nabon,10451.0,Cochapata,False
1.0,Azuay,104.0,Nabon,10452.0,El Progreso (Cab. En Zhota),False
1.0,Azuay,104.0,Nabon,10453.0,Las Nieves (Chaya),False
1.0,Azuay,105.0,Paute,10550.0,Paute,True
1.0,Azuay,105.0,Paute,10552.0,Bulan (Jose Victor Izquierdo),False
1.0,Azuay,105.0,Paute,10553.0,Chican (Guillermo Ortega),False
1.0,Azuay,105.0,Paute,10554.0,El Cabo,False
1.0,Azuay,105.0,Paute,10556.0,Guarainag,False
1.0,Azuay,105.0,Paute,10559.0,San Cristobal (Carlos Ordoñez Lazo),False
1.0,Azuay,105.0,Paute,10561.0,Tomebamba,False
1.0,Azuay,105.0,Paute,10562.0,Dug Dug,False
1.0,Azuay,106.0,Pucara,10650.0,Pucara,True
1.0,Azuay,106.0,Pucara,10652.0,San Rafael De Sharug,False
1.0,Azuay,107.0,San Fernando,10750.0,San Fernando,True
1.0,Azuay,107.0,San Fernando,10751.0,Chumblin,False
1.0,Azuay,108.0,Santa Isabel,10850.0,Santa Isabel (Chaguarurco),True
1.0,Azuay,108.0,Santa Isabel,10851.0,Abdon Calderon (La Union),False
1.0,Azuay,108.0,Santa Isabel,10852.0,El Carmen De Pijili,False
1.0,Azuay,108.0,Santa Isabel,10853.0,Zhaglli (Shaglli ),False
1.0,Azuay,108.0,Santa Isabel,10854.0,San Salvador De Cañaribamba,False
1.0,Azuay,109.0,Sigsig,10950.0,Sigsig,True
1.0,Azuay,109.0,Sigsig,10951.0,Cuchil (Cutchil),False
1.0,Azuay,109.0,Sigsig,10952.0,Gima,False
1.0,Azuay,109.0,Sigsig,10953.0,Guel,False
1.0,Azuay,109.0,Sigsig,10954.0,Ludo,False
1.0,Azuay,109.0,Sigsig,10955.0,San Bartolome,False
1.0,Azuay,109.0,Sigsig,10956.0,San Jose De Raranga,False
1.0,Azuay,110.0,Oña,11050.0,San Felipe De Oña,True
1.0,Azuay,110.0,Oña,11051.0,Susudel,False
1.0,Azuay,111.0,Chordeleg,11150.0,Chordeleg,True
1.0,Azuay,111.0,Chordeleg,11151.0,Principal,False
1.0,Azuay,111.0,Chordeleg,11152.0,La Union,False
1.0,Azuay,111.0,Chordeleg,11153.0,Luis Galarza Orellana (Cab. En Delegsol),False
1.0,Azuay,111.0,Chordeleg,11154.0,San Martin De Puzhio,False
1.0,Azuay,112.0,El Pan,11250.0,El Pan,True
1.0,Azuay,112.0,El Pan,11253.0,San Vicente,False
1.0,Azuay,113.0,Sevilla De Oro,11350.0,Sevilla De Oro,True
1.0,Azuay,113.0,Sevilla De Oro,11351.0,Amaluza,False
1.0,Azuay,113.0,Sevilla De Oro,11352.0,Palmas,False
1.0,Azuay,114.0,Guachapala,11450.0,Guachapala,True
1.0,Azuay,115.0,Camilo Ponce Enriquez,11550.0,Camilo Ponce Enriquez,True
2.0,Bolivar,201.0,Guaranda,20101.0,Ángel Polibio Cháves,True
2.0,Bolivar,201.0,Guaranda,20102.0,Gabriel Ignacio Veintimilla,True
2.0,Bolivar,201.0,Guaranda,20103.0,Guanujo,True
2.0,Bolivar,201.0,Guaranda,20150.0,"Guaranda, Cabecera Cantonal Y Capital Provincial",True
2.0,Bolivar,201.0,Guaranda,20151.0,Facundo Vela,False
2.0,Bolivar,201.0,Guaranda,20153.0,Julio Moreno (Catanahuan Grande),False
2.0,Bolivar,201.0,Guaranda,20155.0,Salinas,False
2.0,Bolivar,201.0,Guaranda,20156.0,San Lorenzo,False
2.0,Bolivar,201.0,Guaranda,20157.0,San Simon (Yacoto),False
2.0,Bolivar,201.0,Guaranda,20158.0,Santa Fe (Santa Fe),False
2.0,Bolivar,201.0,Guaranda,20159.0,Simiatug,False
2.0,Bolivar,201.0,Guaranda,20160.0,San Luis De Pambil,False
2.0,Bolivar,202.0,Chillanes,20250.0,Chillanes,True
2.0,Bolivar,202.0,Chillanes,20251.0,San Jose Del Tambo (Tambopamba),False
2.0,Bolivar,203.0,Chimbo,20350.0,San Jose De Chimbo,True
2.0,Bolivar,203.0,Chimbo,20351.0,Asuncion (Asancoto),False
2.0,Bolivar,203.0,Chimbo,20353.0,Magdalena (Chapacoto),False
2.0,Bolivar,203.0,Chimbo,20354.0,San Sebastian,False
2.0,Bolivar,203.0,Chimbo,20355.0,Telimbela,False
2.0,Bolivar,204.0,Echeandia,20450.0,Echeandia,True
2.0,Bolivar,205.0,San Miguel,20550.0,San Miguel,True
2.0,Bolivar,205.0,San Miguel,20551.0,Balsapamba,False
2.0,Bolivar,205.0,San Miguel,20552.0,Bilovan,False
2.0,Bolivar,205.0,San Miguel,20553.0,Regulo De Mora,False
2.0,Bolivar,205.0,San Miguel,20554.0,San Pablo (San Pablo De Atenas),False
2.0,Bolivar,205.0,San Miguel,20555.0,Santiago,False
2.0,Bolivar,205.0,San Miguel,20556.0,San Vicente,False
2.0,Bolivar,206.0,Caluma,20650.0,Caluma,True
2.0,Bolivar,207.0,Las Naves,20701.0,Las Mercedes,True
2.0,Bolivar,207.0,Las Naves,20702.0,Las Naves,True
3.0,Cañar,301.0,Azogues,30101.0,Aurelio Bayas Martínez,True
3.0,Cañar,301.0,Azogues,30102.0,Azogues,True
3.0,Cañar,301.0,Azogues,30103.0,Borrero,True
3.0,Cañar,301.0,Azogues,30104.0,San Francisco,True
3.0,Cañar,301.0,Azogues,30151.0,Cojitambo,False
3.0,Cañar,301.0,Azogues,30153.0,Guapan,False
3.0,Cañar,301.0,Azogues,30154.0,Javier Loyola (Chuquipata),False
3.0,Cañar,301.0,Azogues,30155.0,Luis Cordero,False
3.0,Cañar,301.0,Azogues,30156.0,Pindilig,False
3.0,Cañar,301.0,Azogues,30157.0,Rivera,False
3.0,Cañar,301.0,Azogues,30158.0,San Miguel,False
3.0,Cañar,301.0,Azogues,30160.0,Taday,False
3.0,Cañar,302.0,Biblian,30250.0,Biblian,True
3.0,Cañar,302.0,Biblian,30251.0,Nazon (Cab. En Pampa De Dominguez),False
3.0,Cañar,302.0,Biblian,30252.0,San Francisco De Sageo,False
3.0,Cañar,302.0,Biblian,30253.0,Turupamba,False
